page_id,page_type,category,display_name,slug,url,content_key,reason,candidate_excel_slug
category:전북|전주시 완산구:중등과외,grade,중등과외,전주시 완산구,전주시 완산구,/전주시-완산구중등과외/,전주시-완산구중등과외,excel_slug_missing,
category:전북|전주시 완산구:고등과외,grade,고등과외,전주시 완산구,전주시 완산구,/전주시-완산구고등과외/,전주시-완산구고등과외,excel_slug_missing,
category:전북|전주시 완산구:초등수학과외,subject_grade,초등수학과외,전주시 완산구,전주시 완산구,/전주시-완산구초등수학과외/,전주시-완산구초등수학과외,excel_slug_missing,
category:전북|전주시 완산구:중등수학과외,subject_grade,중등수학과외,전주시 완산구,전주시 완산구,/전주시-완산구중등수학과외/,전주시-완산구중등수학과외,excel_slug_missing,
category:전북|전주시 완산구:고등수학과외,subject_grade,고등수학과외,전주시 완산구,전주시 완산구,/전주시-완산구고등수학과외/,전주시-완산구고등수학과외,excel_slug_missing,
category:전북|전주시 완산구:초등영어과외,subject_grade,초등영어과외,전주시 완산구,전주시 완산구,/전주시-완산구초등영어과외/,전주시-완산구초등영어과외,excel_slug_missing,
category:전북|전주시 완산구:중등영어과외,subject_grade,중등영어과외,전주시 완산구,전주시 완산구,/전주시-완산구중등영어과외/,전주시-완산구중등영어과외,excel_slug_missing,
category:전북|전주시 완산구:고등영어과외,subject_grade,고등영어과외,전주시 완산구,전주시 완산구,/전주시-완산구고등영어과외/,전주시-완산구고등영어과외,excel_slug_missing,
region:전남,city,과외,전남,전남,/전남과외/,전남과외,hub_page_no_content,
category:전남:수학과외,subject,수학과외,전남,전남,/전남수학과외/,전남수학과외,excel_slug_missing,
category:전남:영어과외,subject,영어과외,전남,전남,/전남영어과외/,전남영어과외,excel_slug_missing,
category:전남:초등과외,grade,초등과외,전남,전남,/전남초등과외/,전남초등과외,excel_slug_missing,
category:전남:중등과외,grade,중등과외,전남,전남,/전남중등과외/,전남중등과외,excel_slug_missing,
category:전남:고등과외,grade,고등과외,전남,전남,/전남고등과외/,전남고등과외,excel_slug_missing,
category:전남:초등수학과외,subject_grade,초등수학과외,전남,전남,/전남초등수학과외/,전남초등수학과외,excel_slug_missing,
category:전남:중등수학과외,subject_grade,중등수학과외,전남,전남,/전남중등수학과외/,전남중등수학과외,excel_slug_missing,
category:전남:고등수학과외,subject_grade,고등수학과외,전남,전남,/전남고등수학과외/,전남고등수학과외,excel_slug_missing,
category:전남:초등영어과외,subject_grade,초등영어과외,전남,전남,/전남초등영어과외/,전남초등영어과외,excel_slug_missing,
category:전남:중등영어과외,subject_grade,중등영어과외,전남,전남,/전남중등영어과외/,전남중등영어과외,excel_slug_missing,
category:전남:고등영어과외,subject_grade,고등영어과외,전남,전남,/전남고등영어과외/,전남고등영어과외,excel_slug_missing,
region:전남|목포시,district,과외,목포시,목포시,/전남과외/목포시과외/,목포시과외,hub_page_no_content,
category:전남|목포시:수학과외,subject,수학과외,목포시,목포시,/목포시수학과외/,목포시수학과외,excel_slug_missing,
category:전남|목포시:영어과외,subject,영어과외,목포시,목포시,/목포시영어과외/,목포시영어과외,excel_slug_missing,
category:전남|목포시:초등과외,grade,초등과외,목포시,목포시,/목포시초등과외/,목포시초등과외,excel_slug_missing,
category:전남|목포시:중등과외,grade,중등과외,목포시,목포시,/목포시중등과외/,목포시중등과외,excel_slug_missing,
category:전남|목포시:고등과외,grade,고등과외,목포시,목포시,/목포시고등과외/,목포시고등과외,excel_slug_missing,
